Dims,NDCG,MAP,TOP1 Precision,TOP1 Recall,TOP1 F1,TOP3 Precision,TOP3 Recall,TOP3 F1,TOP5 Precision,TOP5 Recall,TOP5 F1
Cold_YouTuber_y20_0,0.4807498503295365,0.3198941798941799,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_10,0.4665210952488434,0.3021164021164021,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_11,0.47097109833553435,0.3059259259259259,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_12,0.464513100739801,0.2997883597883597,0.06666666666666667,0.0625,0.06451612903225808,0.08888888888888889,0.25,0.13114754098360656,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_13,0.4717085117024211,0.3087037037037037,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_14,0.4685824514487796,0.3058994708994709,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_15,0.46522833217386245,0.30116402116402113,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_16,0.463074776329239,0.29904761904761906,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_17,0.46628970501299527,0.30193121693121694,0.06666666666666667,0.0625,0.06451612903225808,0.08888888888888889,0.25,0.13114754098360656,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_18,0.463074776329239,0.29904761904761906,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_19,0.4773873147705598,0.3166402116402116,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_1,0.4817392938029445,0.32037037037037036,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.14666666666666667,0.6875,0.24175824175824173
Cold_YouTuber_y20_20,0.46238292672585085,0.2965608465608466,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_21,0.4959737752664113,0.3426719576719577,0.13333333333333333,0.125,0.12903225806451615,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_22,0.48113005177684265,0.3196296296296296,0.06666666666666667,0.0625,0.06451612903225808,0.15555555555555556,0.4375,0.2295081967213115,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_23,0.48367143371879323,0.3232275132275132,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_24,0.4731889548673263,0.3102645502645503,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_25,0.48532092258046045,0.325,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_26,0.47440730336912484,0.311005291005291,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.14666666666666667,0.6875,0.24175824175824173
Cold_YouTuber_y20_27,0.46551251852028236,0.30119047619047623,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_28,0.4707159215348644,0.30648148148148147,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_29,0.486527321180987,0.326005291005291,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_2,0.474942783480696,0.3121164021164021,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_30,0.46556202532233476,0.30156084656084653,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_31,0.46430299808620423,0.2992592592592593,0.06666666666666667,0.0625,0.06451612903225808,0.08888888888888889,0.25,0.13114754098360656,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_32,0.5081656023111738,0.35666666666666663,0.13333333333333333,0.125,0.12903225806451615,0.13333333333333333,0.375,0.19672131147540986,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_33,0.4766059554237703,0.31537037037037036,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_34,0.4697393804661141,0.30682539682539683,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_35,0.5086708176633048,0.3564814814814815,0.13333333333333333,0.125,0.12903225806451615,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_36,0.47904987092368606,0.31767195767195766,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_37,0.4761072827749752,0.31322751322751324,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.14666666666666667,0.6875,0.24175824175824173
Cold_YouTuber_y20_38,0.4698676442468158,0.30666666666666664,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_39,0.48431781525628365,0.32370370370370366,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_3,0.46600297749205466,0.30148148148148146,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_40,0.46922126270932535,0.3061904761904762,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_41,0.47689631507906255,0.31555555555555553,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_42,0.5013345880057465,0.3466666666666666,0.13333333333333333,0.125,0.12903225806451615,0.1111111111111111,0.3125,0.1639344262295082,0.14666666666666667,0.6875,0.24175824175824173
Cold_YouTuber_y20_43,0.48418955147558196,0.32386243386243385,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_44,0.4683578888258562,0.3048941798941799,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_45,0.46944267863810013,0.30544973544973547,0.06666666666666667,0.0625,0.06451612903225808,0.1111111111111111,0.3125,0.1639344262295082,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_46,0.4643029980862043,0.2992592592592592,0.06666666666666667,0.0625,0.06451612903225808,0.08888888888888889,0.25,0.13114754098360656,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_47,0.5015283008277329,0.34740740740740733,0.13333333333333333,0.125,0.12903225806451615,0.15555555555555556,0.4375,0.2295081967213115,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_48,0.468930903054033,0.306005291005291,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.09333333333333334,0.4375,0.15384615384615383
Cold_YouTuber_y20_49,0.5031364362621334,0.3503703703703704,0.13333333333333333,0.125,0.12903225806451615,0.1111111111111111,0.3125,0.1639344262295082,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_4,0.483337740570321,0.322037037037037,0.06666666666666667,0.0625,0.06451612903225808,0.15555555555555556,0.4375,0.2295081967213115,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_5,0.48010346879204596,0.31941798941798943,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
Cold_YouTuber_y20_6,0.4780336963080502,0.31711640211640213,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_7,0.476734144134249,0.3137830687830687,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.12,0.5625,0.19780219780219782
Cold_YouTuber_y20_8,0.4872428947579955,0.3259259259259259,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.13333333333333333,0.625,0.21978021978021978
Cold_YouTuber_y20_9,0.46904328228720554,0.3058994708994709,0.06666666666666667,0.0625,0.06451612903225808,0.13333333333333333,0.375,0.19672131147540986,0.10666666666666667,0.5,0.17582417582417584
